time,Infected,Recovered,Susceptible
0.0,1.0,0.0,999.0
0.05,3.0,0.0,997.0
0.1,8.0,0.0,992.0
0.15,12.0,0.0,988.0
0.2,19.0,1.0,980.0
0.25,30.0,1.0,969.0
0.3,40.0,1.0,959.0
0.35,60.0,3.0,937.0
0.4,81.0,4.0,915.0
0.45,118.0,5.0,877.0
0.5,158.0,9.0,833.0
0.55,214.0,11.0,775.0
0.6,294.0,16.0,690.0
0.65,389.0,20.0,591.0
0.7,488.0,26.0,486.0
0.75,568.0,32.0,400.0
0.8,667.0,37.0,296.0
0.85,724.0,45.0,231.0
0.9,773.0,53.0,174.0
0.95,811.0,66.0,123.0
1.0,841.0,76.0,83.0
1.05,845.0,92.0,63.0
1.1,849.0,106.0,45.0
1.15,843.0,125.0,32.0
1.2,843.0,133.0,24.0
1.25,842.0,143.0,15.0
1.3,825.0,162.0,13.0
1.35,823.0,171.0,6.0
1.4,810.0,184.0,6.0
1.45,792.0,203.0,5.0
1.5,789.0,209.0,2.0
1.55,781.0,217.0,2.0
1.6,765.0,233.0,2.0
1.65,756.0,242.0,2.0
1.7,751.0,247.0,2.0
1.75,739.0,260.0,1.0
1.8,730.0,270.0,0.0
1.85,723.0,277.0,0.0
1.9,708.0,292.0,0.0
1.95,694.0,306.0,0.0
2.0,683.0,317.0,0.0
2.05,671.0,329.0,0.0
2.1,665.0,335.0,0.0
2.15,657.0,343.0,0.0
2.2,644.0,356.0,0.0
2.25,637.0,363.0,0.0
2.3,632.0,368.0,0.0
2.35,625.0,375.0,0.0
2.4,618.0,382.0,0.0
2.45,612.0,388.0,0.0
2.5,601.0,399.0,0.0
2.55,592.0,408.0,0.0
2.6,579.0,421.0,0.0
2.65,573.0,427.0,0.0
2.7,565.0,435.0,0.0
2.75,553.0,447.0,0.0
2.8,544.0,456.0,0.0
2.85,534.0,466.0,0.0
2.9,528.0,472.0,0.0
2.95,525.0,475.0,0.0
3.0,520.0,480.0,0.0
3.05,508.0,492.0,0.0
3.1,495.0,505.0,0.0
3.15,483.0,517.0,0.0
3.2,476.0,524.0,0.0
3.25,465.0,535.0,0.0
3.3,456.0,544.0,0.0
3.35,449.0,551.0,0.0
3.4,443.0,557.0,0.0
3.45,437.0,563.0,0.0
3.5,428.0,572.0,0.0
3.55,423.0,577.0,0.0
3.6,420.0,580.0,0.0
3.65,411.0,589.0,0.0
3.7,406.0,594.0,0.0
3.75,398.0,602.0,0.0
3.8,390.0,610.0,0.0
3.85,383.0,617.0,0.0
3.9,375.0,625.0,0.0
3.95,366.0,634.0,0.0
4.0,359.0,641.0,0.0
4.05,357.0,643.0,0.0
4.1,348.0,652.0,0.0
4.15,344.0,656.0,0.0
4.2,339.0,661.0,0.0
4.25,337.0,663.0,0.0
4.3,334.0,666.0,0.0
4.35,331.0,669.0,0.0
4.4,329.0,671.0,0.0
4.45,322.0,678.0,0.0
4.5,319.0,681.0,0.0
4.55,317.0,683.0,0.0
4.6,314.0,686.0,0.0
4.65,308.0,692.0,0.0
4.7,305.0,695.0,0.0
4.75,302.0,698.0,0.0
4.8,299.0,701.0,0.0
4.85,293.0,707.0,0.0
4.9,290.0,710.0,0.0
4.95,284.0,716.0,0.0
5.0,280.0,720.0,0.0
5.05,272.0,728.0,0.0
5.1,270.0,730.0,0.0
5.15,270.0,730.0,0.0
5.2,265.0,735.0,0.0
5.25,260.0,740.0,0.0
5.3,255.0,745.0,0.0
5.35,253.0,747.0,0.0
5.4,252.0,748.0,0.0
5.45,252.0,748.0,0.0
5.5,248.0,752.0,0.0
5.55,241.0,759.0,0.0
5.6,240.0,760.0,0.0
5.65,238.0,762.0,0.0
5.7,236.0,764.0,0.0
5.75,230.0,770.0,0.0
5.8,225.0,775.0,0.0
5.85,220.0,780.0,0.0
5.9,218.0,782.0,0.0
5.95,216.0,784.0,0.0
6.0,215.0,785.0,0.0
6.05,209.0,791.0,0.0
6.1,208.0,792.0,0.0
6.15,203.0,797.0,0.0
6.2,201.0,799.0,0.0
6.25,200.0,800.0,0.0
6.3,196.0,804.0,0.0
6.35,195.0,805.0,0.0
6.4,192.0,808.0,0.0
6.45,188.0,812.0,0.0
6.5,186.0,814.0,0.0
6.55,183.0,817.0,0.0
6.6,179.0,821.0,0.0
6.65,173.0,827.0,0.0
6.7,170.0,830.0,0.0
6.75,166.0,834.0,0.0
6.8,161.0,839.0,0.0
6.85,159.0,841.0,0.0
6.9,158.0,842.0,0.0
6.95,156.0,844.0,0.0
7.0,154.0,846.0,0.0
7.05,153.0,847.0,0.0
7.1,152.0,848.0,0.0
7.15,151.0,849.0,0.0
7.2,149.0,851.0,0.0
7.25,147.0,853.0,0.0
7.3,144.0,856.0,0.0
7.35,143.0,857.0,0.0
7.4,137.0,863.0,0.0
7.45,136.0,864.0,0.0
7.5,134.0,866.0,0.0
7.55,130.0,870.0,0.0
7.6,127.0,873.0,0.0
7.65,124.0,876.0,0.0
7.7,122.0,878.0,0.0
7.75,120.0,880.0,0.0
7.8,118.0,882.0,0.0
7.85,117.0,883.0,0.0
7.9,116.0,884.0,0.0
7.95,114.0,886.0,0.0
8.0,113.0,887.0,0.0
8.05,112.0,888.0,0.0
8.1,110.0,890.0,0.0
8.15,108.0,892.0,0.0
8.2,107.0,893.0,0.0
8.25,101.0,899.0,0.0
8.3,99.0,901.0,0.0
8.35,99.0,901.0,0.0
8.4,99.0,901.0,0.0
8.45,96.0,904.0,0.0
8.5,94.0,906.0,0.0
8.55,92.0,908.0,0.0
8.6,90.0,910.0,0.0
8.65,90.0,910.0,0.0
8.7,90.0,910.0,0.0
8.75,87.0,913.0,0.0
8.8,86.0,914.0,0.0
8.85,83.0,917.0,0.0
8.9,81.0,919.0,0.0
8.95,80.0,920.0,0.0
9.0,77.0,923.0,0.0
9.05,75.0,925.0,0.0
9.1,74.0,926.0,0.0
9.15,73.0,927.0,0.0
9.2,70.0,930.0,0.0
9.25,70.0,930.0,0.0
9.3,70.0,930.0,0.0
9.35,69.0,931.0,0.0
