beta,gamma,Susceptible,Infected,Recovered
0.00415,0.15,0.0,190.02750000000003,95.3
0.00415,0.18,0.0,125.35,23.410000000000004
0.00415,0.20999999999999996,0.0,30713.859999999993,45407.1475
0.00415,0.23999999999999996,0.0,55406.8875,87669.6275
0.00415,0.26999999999999996,0.0,27564.327499999996,46717.689999999995
0.00415,0.29999999999999993,0.0,49905.26000000001,89025.79000000001
0.00415,0.32999999999999996,0.0,25009.4875,47137.6275
0.00415,0.35999999999999993,0.0,23886.2275,47276.2875
0.00415,0.3899999999999999,0.0,60997.0,127050.95
0.00415,0.41999999999999993,0.0,58314.11,127125.8875
0.00415,0.44999999999999996,0.0,39080.32749999999,89750.6875
0.00498,0.15,0.0,167.33999999999997,54.34750000000001
0.00498,0.18,0.0,83.35999999999999,34.00999999999999
0.00498,0.20999999999999996,0.0,119.74000000000001,25.75
0.00498,0.23999999999999996,0.0,31396.22749999999,46344.4875
0.00498,0.26999999999999996,0.0,80178.14749999998,125593.04
0.00498,0.29999999999999993,0.0,28604.247500000005,47035.11
0.00498,0.32999999999999996,0.0,51457.627499999995,89312.7475
0.00498,0.35999999999999993,0.0,25993.5475,47162.14
0.00498,0.3899999999999999,0.0,97065.32750000003,186801.56
0.00498,0.41999999999999993,0.0,45208.26,89650.9875
0.00498,0.44999999999999996,0.0,76690.7875,159540.49000000002
0.005809999999999999,0.15,0.0,79.1275,92.64000000000001
0.005809999999999999,0.18,0.0,35354.9475,44219.159999999996
0.005809999999999999,0.20999999999999996,0.0,150.4275,17.347500000000004
0.005809999999999999,0.23999999999999996,0.0,61845.1475,87736.94750000001
0.005809999999999999,0.26999999999999996,0.0,131.3,8.01
0.005809999999999999,0.29999999999999993,0.0,80785.05,126042.44749999998
0.005809999999999999,0.32999999999999996,0.0,55165.9875,89312.7475
0.005809999999999999,0.35999999999999993,0.0,27992.75,47162.14
0.005809999999999999,0.3899999999999999,0.0,105546.35,186801.56
0.005809999999999999,0.41999999999999993,0.0,49204.0475,89650.9875
0.005809999999999999,0.44999999999999996,0.0,83896.92750000002,159540.49000000002
0.006639999999999999,0.15,0.0,89.6,95.74750000000002
0.006639999999999999,0.18,0.0,97.84750000000001,28.027499999999996
0.006639999999999999,0.20999999999999996,0.0,35175.4275,45445.990000000005
0.006639999999999999,0.23999999999999996,0.0,33896.82750000001,46445.9275
0.006639999999999999,0.26999999999999996,0.0,84.00999999999999,6.660000000000001
0.006639999999999999,0.29999999999999993,0.0,112.22750000000003,2.9900000000000007
0.006639999999999999,0.32999999999999996,0.0,82106.62749999999,126667.8475
0.006639999999999999,0.35999999999999993,0.0,29658.360000000004,47290.990000000005
0.006639999999999999,0.3899999999999999,0.0,112837.10999999999,186801.16
0.006639999999999999,0.41999999999999993,0.0,93237.0475,159460.79000000004
0.006639999999999999,0.44999999999999996,0.0,90551.5875,159480.64749999996
0.007469999999999999,0.15,0.0,104.32749999999999,75.84
0.007469999999999999,0.18,0.0,82.59,31.1875
