beta,gamma,Infected,Recovered,Susceptible
0.004,0.1,1349.94,33530.22749999999,47405.047499999986
0.004,0.1285714285714286,123.04750000000001,123.04749999999999,0.0
0.004,0.15714285714285714,28.747499999999995,28.747500000000002,0.0
0.004,0.18571428571428572,98.39000000000001,44096.84749999999,47405.047499999986
0.004,0.2142857142857143,22.7875,22.7875,0.0
0.004,0.24285714285714288,24.6475,87337.2475,89820.09000000001
0.004,0.27142857142857146,13.427500000000004,157635.6475,159680.16000000006
0.004,0.30000000000000004,5.027500000000001,126246.16,127245.12749999999
0.004,0.3285714285714286,1.7875,47177.1875,47400.1
0.004,0.3571428571428572,0.7474999999999999,47290.89,47395.147499999985
0.004,0.3857142857142858,1.0399999999999998,47331.61,47390.19
0.004,0.41428571428571437,0.30999999999999994,89720.84000000001,89780.29
0.004,0.44285714285714284,0.1875,47345.5475,47370.409999999996
0.004,0.4714285714285714,0.0475,127095.72750000001,127110.70999999999
0.004,0.5,0.04749999999999999,159401.15,159420.94749999998
0.004642857142857143,0.1,146.54000000000002,146.54,0.0
0.004642857142857143,0.1285714285714286,67.6275,67.62750000000003,0.0
0.004642857142857143,0.15714285714285714,319.2475,80139.3475,89820.09000000001
0.004642857142857143,0.18571428571428572,30.55,30.55,0.0
0.004642857142857143,0.2142857142857143,13.959999999999999,13.959999999999999,0.0
0.004642857142857143,0.24285714285714288,28.35,46384.447499999995,47405.047499999986
0.004642857142857143,0.27142857142857146,5.36,5.36,0.0
0.004642857142857143,0.30000000000000004,4.2,47009.64750000001,47405.047499999986
0.004642857142857143,0.3285714285714286,2.9099999999999997,47138.22749999999,47405.0475
0.004642857142857143,0.3571428571428572,1.3400000000000003,89541.70999999999,89820.09000000001
0.004642857142857143,0.3857142857142858,0.8100000000000002,159401.25,159680.16000000006
0.004642857142857143,0.41428571428571437,0.6275,89690.8475,89820.09000000001
0.004642857142857143,0.44285714285714284,0.41,47375.4875,47405.047499999986
0.004642857142857143,0.4714285714285714,0.36000000000000004,47385.42749999999,47405.047499999986
0.004642857142857143,0.5,0.1275,0.16000000000000003,0.04749999999999999
0.005285714285714286,0.1,119.74750000000002,119.74750000000002,0.0
0.005285714285714286,0.1285714285714286,64.84,64.84,0.0
0.005285714285714286,0.15714285714285714,305.1875,80484.9275,89820.09000000001
0.005285714285714286,0.18571428571428572,28.127499999999998,28.127500000000005,0.0
0.005285714285714286,0.2142857142857143,11.71,11.71,0.0
0.005285714285714286,0.24285714285714288,21.1,87843.19,89820.09000000001
0.005285714285714286,0.27142857142857146,9.459999999999999,46835.0875,47405.047499999986
0.005285714285714286,0.30000000000000004,5.1475,5.147500000000001,0.0
0.005285714285714286,0.3285714285714286,3.0,47208.247500000005,47405.0475
0.005285714285714286,0.3571428571428572,1.2,89621.49000000002,89820.09000000001
0.005285714285714286,0.3857142857142858,0.5875,47330.71000000001,47405.047499999986
0.005285714285714286,0.41428571428571437,0.4400000000000001,0.4400000000000002,0.0
0.005285714285714286,0.44285714285714284,0.16000000000000006,47385.22749999999,47405.0475
0.005285714285714286,0.4714285714285714,0.1275,47390.19,47405.0475
0.005285714285714286,0.5,0.0,47405.0475,47405.0475
0.005928571428571429,0.1,173.4475,173.44749999999996,0.0
0.005928571428571429,0.1285714285714286,59.6,59.6,0.0
0.005928571428571429,0.15714285714285714,43.260000000000005,43.25999999999999,0.0
0.005928571428571429,0.18571428571428572,58.24000000000001,44626.12750000001,47405.047499999986
0.005928571428571429,0.2142857142857143,52.427499999999995,86745.6475,89820.09000000001
0.005928571428571429,0.24285714285714288,16.1475,87859.21000000002,89730.22749999998
0.005928571428571429,0.27142857142857146,7.7475000000000005,88838.82749999998,89820.09000000001
0.005928571428571429,0.30000000000000004,4.01,47139.32750000001,47405.047499999986
0.005928571428571429,0.3285714285714286,2.3475,2.3475000000000006,0.0
0.005928571428571429,0.3571428571428572,0.76,89491.3475,89730.2275
0.005928571428571429,0.3857142857142858,0.5474999999999999,89630.82749999998,89820.09000000001
0.005928571428571429,0.41428571428571437,0.7275,89690.94749999998,89820.09000000001
0.005928571428571429,0.44285714285714284,0.5399999999999998,89610.9475,89730.22749999998
0.005928571428571429,0.4714285714285714,0.4274999999999999,89660.76,89730.22749999998
0.005928571428571429,0.5,0.22749999999999998,159460.72749999998,159520.40999999997
0.006571428571428572,0.1,97.2875,97.2875,0.0
0.006571428571428572,0.1285714285714286,428.16,39521.527500000004,47405.04749999999
0.006571428571428572,0.15714285714285714,54.827499999999986,54.8275,0.0
0.006571428571428572,0.18571428571428572,25.0475,25.047500000000003,0.0
0.006571428571428572,0.2142857142857143,16.76,16.76,0.0
0.006571428571428572,0.24285714285714288,5.6875,5.6875,0.0
0.006571428571428572,0.27142857142857146,5.4,5.4,0.0
0.006571428571428572,0.30000000000000004,3.55,3.55,0.0
0.006571428571428572,0.3285714285714286,1.49,89441.95999999999,89820.09000000001
0.006571428571428572,0.3571428571428572,0.74,47265.9275,47405.047499999986
0.006571428571428572,0.3857142857142858,0.5474999999999999,89630.82749999998,89820.09000000001
0.006571428571428572,0.41428571428571437,0.7275,89690.94749999998,89820.09000000001
0.006571428571428572,0.44285714285714284,0.5475000000000001,89620.94,89730.22749999998
0.006571428571428572,0.4714285714285714,0.09000000000000001,89800.2,89820.09000000001
0.006571428571428572,0.5,0.0,89820.09000000001,89820.09000000001
0.007214285714285715,0.1,149.31,149.31000000000003,0.0
0.007214285714285715,0.1285714285714286,105.1875,105.1875,0.0
0.007214285714285715,0.15714285714285714,144.5,42754.3475,47405.04749999999
0.007214285714285715,0.18571428571428572,59.427499999999995,44852.08999999999,47405.047499999986
0.007214285714285715,0.2142857142857143,46.69,86650.0,89820.09000000001
0.007214285714285715,0.24285714285714288,19.527500000000003,87771.6875,89820.09000000001
0.007214285714285715,0.27142857142857146,6.4399999999999995,46852.04749999999,47405.047499999986
0.007214285714285715,0.30000000000000004,2.4875,2.4875,0.0
0.007214285714285715,0.3285714285714286,1.7475,47202.0,47405.047499999986
0.007214285714285715,0.3571428571428572,0.9399999999999998,0.9400000000000001,0.0
0.007214285714285715,0.3857142857142858,1.0274999999999999,47321.16,47405.047499999986
0.007214285714285715,0.41428571428571437,0.24000000000000005,89740.41,89820.09000000001
0.007214285714285715,0.44285714285714284,0.16000000000000006,89780.29000000001,89820.09000000001
0.007214285714285715,0.4714285714285714,0.09000000000000001,89800.2,89820.09000000001
0.007214285714285715,0.5,0.0,89820.09000000001,89820.09000000001
0.007857142857142858,0.1,1173.0275,34357.310000000005,47405.047499999986
0.007857142857142858,0.1285714285714286,84.74750000000002,84.74750000000002,0.0
0.007857142857142858,0.15714285714285714,46.9875,46.9875,0.0
0.007857142857142858,0.18571428571428572,25.647499999999997,25.6475,0.0
0.007857142857142858,0.2142857142857143,34.46,86817.59,89820.09000000001
0.007857142857142858,0.24285714285714288,14.547500000000003,46465.55,47405.04749999999
0.007857142857142858,0.27142857142857146,9.947500000000002,88821.04750000002,89820.09000000001
0.007857142857142858,0.30000000000000004,3.8875,3.8875,0.0
0.007857142857142858,0.3285714285714286,1.31,1.31,0.0
0.007857142857142858,0.3571428571428572,1.1275000000000002,1.1275000000000002,0.0
0.007857142857142858,0.3857142857142858,1.2899999999999998,1.2900000000000003,0.0
0.007857142857142858,0.41428571428571437,0.44750000000000023,47360.54,47405.04749999999
0.007857142857142858,0.44285714285714284,0.2875,0.2875,0.0
0.007857142857142858,0.4714285714285714,0.26000000000000006,0.25999999999999995,0.0
0.007857142857142858,0.5,0.09000000000000001,0.09,0.0
0.0085,0.1,54.347500000000004,54.34750000000001,0.0
0.0085,0.1285714285714286,54.7,54.7,0.0
0.0085,0.15714285714285714,57.74000000000001,57.74000000000001,0.0
0.0085,0.18571428571428572,19.627499999999998,19.627499999999998,0.0
